,coolingdegreedays,coolingdegreedaysnormal,date,day,fog,gdegreedays,hail,heatingdegreedays,heatingdegreedaysnormal,humidity,maxdewpti,maxdewptm,maxhumidity,maxpressurei,maxpressurem,maxtempi,maxtempm,maxvisi,maxvism,maxwspdi,maxwspdm,meandewpti,meandewptm,meanpressurei,meanpressurem,meantempi,meantempm,meanvisi,meanvism,meanwdird,meanwdire,meanwindspdi,meanwindspdm,mindewpti,mindewptm,minhumidity,minpressurei,minpressurem,mintempi,mintempm,minvisi,minvism,minwspdi,minwspdm,monthtodatecoolingdegreedays,monthtodatecoolingdegreedaysnormal,monthtodateheatingdegreedays,monthtodateheatingdegreedaysnormal,monthtodatesnowfalli,monthtodatesnowfallm,precipi,precipm,precipsource,rain,since1jancoolingdegreedays,since1jancoolingdegreedaysnormal,since1julheatingdegreedays,since1julheatingdegreedaysnormal,since1julsnowfalli,since1julsnowfallm,since1sepcoolingdegreedays,since1sepcoolingdegreedaysnormal,since1sepheatingdegreedays,since1sepheatingdegreedaysnormal,snow,snowdepthi,snowdepthm,snowfalli,snowfallm,thunder,tornado
0,0,0,"{u'mday': u'01', u'hour': u'12', u'min': u'00', u'mon': u'04', u'pretty': u'12:00 PM EDT on April 01, 2016', u'year': u'2016', u'tzname': u'America/New_York'}",20160401,0,14,0,1,22,,59,15,90,29.77,1008,69,21,10,16,29,47,57,14,29.59,1002,64,18,10,16,213,,18,29,43,6,51,29.44,997,59,15,10,16,10,16,0,0,1,22,0.00,0.00,0.05,1.27,,1,0,0,4019,4893,29.50,74.93,,,,,0,,,0.00,0.00,0,0
1,0,0,"{u'mday': u'02', u'hour': u'12', u'min': u'00', u'mon': u'04', u'pretty': u'12:00 PM EDT on April 02, 2016', u'year': u'2016', u'tzname': u'America/New_York'}",20160402,0,0,0,14,22,,45,7,93,29.64,1004,59,15,10,16,17,27,41,5,29.48,998,51,11,9,14,217,,9,14,36,2,43,29.32,993,42,6,3,5,4,6,0,0,15,44,0.00,0.00,0.32,8.13,,1,0,0,4033,4915,29.50,74.93,,,,,0,,,0.00,0.00,0,0
2,0,0,"{u'mday': u'03', u'hour': u'12', u'min': u'00', u'mon': u'04', u'pretty': u'12:00 PM EDT on April 03, 2016', u'year': u'2016', u'tzname': u'America/New_York'}",20160403,1,0,0,29,21,,39,4,92,30.05,1017,43,6,10,16,29,47,23,-5,29.49,999,36,2,6,10,309,,16,25,4,-16,26,29.19,988,29,-2,0,0,0,0,0,0,44,65,1.90,4.83,0.49,12.45,,1,0,0,4062,4936,31.40,79.76,,,,,1,,,1.90,4.83,0,0
3,0,0,"{u'mday': u'04', u'hour': u'12', u'min': u'00', u'mon': u'04', u'pretty': u'12:00 PM EDT on April 04, 2016', u'year': u'2016', u'tzname': u'America/New_York'}",20160404,1,0,0,38,21,,27,-3,92,30.09,1019,30,-1,10,16,22,35,20,-7,30.02,1016,27,-3,3,5,36,,11,18,3,-16,34,29.91,1013,24,-4,0,0,0,0,0,0,82,86,6.60,16.76,0.41,10.41,,0,0,0,4100,4957,36.10,91.69,,,,,1,,,4.70,11.94,0,0
4,0,0,"{u'mday': u'05', u'hour': u'12', u'min': u'00', u'mon': u'04', u'pretty': u'12:00 PM EDT on April 05, 2016', u'year': u'2016', u'tzname': u'America/New_York'}",20160405,0,0,0,35,21,,19,-7,75,30.33,1027,37,3,10,16,21,34,9,-13,30.23,1024,30,-1,10,16,341,,13,20,2,-17,25,30.08,1019,22,-6,10,16,8,13,0,0,117,107,6.60,16.76,0.00,0.00,,0,0,0,4135,4978,36.10,91.69,,,,,0,,,0.00,0.00,0,0
5,0,0,"{u'mday': u'06', u'hour': u'12', u'min': u'00', u'mon': u'04', u'pretty': u'12:00 PM EDT on April 06, 2016', u'year': u'2016', u'tzname': u'America/New_York'}",20160406,0,0,0,31,20,,33,1,70,30.39,1029,42,6,10,16,24,39,16,-9,30.27,1025,34,1,10,16,198,,10,16,5,-15,32,30.05,1017,25,-4,10,16,4,6,0,0,148,127,6.60,16.76,0.00,0.00,,0,0,0,4166,4998,36.10,91.69,,,,,0,,,0.00,0.00,0,0
6,0,0,"{u'mday': u'07', u'hour': u'12', u'min': u'00', u'mon': u'04', u'pretty': u'12:00 PM EDT on April 07, 2016', u'year': u'2016', u'tzname': u'America/New_York'}",20160407,0,0,0,15,20,,52,11,96,30.04,1017,58,14,10,16,35,56,47,8,29.69,1005,50,10,7,11,175,,17,27,34,1,72,29.40,995,42,6,2,2,7,11,0,0,163,147,6.60,16.76,1.03,26.16,,1,0,0,4181,5018,36.10,91.69,,,,,0,,,0.00,0.00,0,0
7,0,0,"{u'mday': u'08', u'hour': u'12', u'min': u'00', u'mon': u'04', u'pretty': u'12:00 PM EDT on April 08, 2016', u'year': u'2016', u'tzname': u'America/New_York'}",20160408,0,0,0,20,20,,46,8,93,29.74,1007,53,12,10,16,32,52,34,1,29.53,1000,45,7,10,16,241,,15,24,20,-7,39,29.41,996,37,3,10,16,7,11,0,0,183,167,6.60,16.76,T,T,,1,0,0,4201,5038,36.10,91.69,,,,,0,,,0.00,0.00,0,0
8,0,0,"{u'mday': u'09', u'hour': u'12', u'min': u'00', u'mon': u'04', u'pretty': u'12:00 PM EDT on April 09, 2016', u'year': u'2016', u'tzname': u'America/New_York'}",20160409,0,0,0,26,19,,30,-1,70,29.90,1012,46,8,10,16,22,35,24,-4,29.78,1008,39,4,10,16,300,,10,16,17,-8,40,29.72,1006,32,0,10,16,5,8,0,0,209,186,6.60,16.76,0.00,0.00,,0,0,0,4227,5057,36.10,91.69,,,,,0,,,0.00,0.00,0,0
9,0,0,"{u'mday': u'10', u'hour': u'12', u'min': u'00', u'mon': u'04', u'pretty': u'12:00 PM EDT on April 10, 2016', u'year': u'2016', u'tzname': u'America/New_York'}",20160410,0,0,0,25,19,,21,-6,53,30.30,1026,49,9,10,16,23,37,12,-11,30.18,1022,40,4,10,16,282,,12,19,5,-15,16,29.94,1014,31,-1,10,16,6,10,0,0,234,205,6.60,16.76,0.00,0.00,,0,0,0,4252,5076,36.10,91.69,,,,,0,,,0.00,0.00,0,0
